job_title,job_detail_url,job_listed,company_name,company_link,company_location
APPRENTI DATA ANALYST (H/F),https://fr.linkedin.com/jobs/view/apprenti-data-analyst-h-f-at-akademija-oxford-3973513587?position=1&pageNum=0&refId=dbS8xFUpopGQVk4NH8eCEQ%3D%3D&trackingId=YoigFeg9vcSst6oAnVU6BA%3D%3D&trk=public_jobs_jserp-result_search-card,1 day ago,Akademija Oxford,https://rs.linkedin.com/company/akademija-oxford?trk=public_jobs_jserp-result_job-search-card-subtitle,"Boulogne-Billancourt, Île-de-France, France"
APPRENTI DATA ENGINEER (H/F),https://fr.linkedin.com/jobs/view/apprenti-data-engineer-h-f-at-akademija-oxford-3971352013?position=2&pageNum=0&refId=dbS8xFUpopGQVk4NH8eCEQ%3D%3D&trackingId=90QGGGZ%2FXnG1Z2MMCjrfVg%3D%3D&trk=public_jobs_jserp-result_search-card,3 days ago,Akademija Oxford,https://rs.linkedin.com/company/akademija-oxford?trk=public_jobs_jserp-result_job-search-card-subtitle,"Paris, Île-de-France, France"
Data Analyst H/F,https://fr.linkedin.com/jobs/view/data-analyst-h-f-at-groupe-tf1-3973109945?position=3&pageNum=0&refId=dbS8xFUpopGQVk4NH8eCEQ%3D%3D&trackingId=2ZqdrEFs3b%2FeSFD4M4LFpA%3D%3D&trk=public_jobs_jserp-result_search-card,2 days ago,Groupe TF1,https://fr.linkedin.com/company/groupetf1?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Paris Metropolitan Region
Junior Financial Business Analyst,https://fr.linkedin.com/jobs/view/junior-financial-business-analyst-at-accor-3967329058?position=4&pageNum=0&refId=dbS8xFUpopGQVk4NH8eCEQ%3D%3D&trackingId=vlfeKHsQ%2FWhH6UAGjgBpTw%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,Accor,https://fr.linkedin.com/company/accor?trk=public_jobs_jserp-result_job-search-card-subtitle,"Issy-les-Moulineaux, Île-de-France, France"
Media Data intern,https://fr.linkedin.com/jobs/view/media-data-intern-at-loewe-3963165944?position=5&pageNum=0&refId=dbS8xFUpopGQVk4NH8eCEQ%3D%3D&trackingId=zmHuP%2B%2B8mPhhmLoT5ugzOw%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,Loewe,https://es.linkedin.com/company/loewe?trk=public_jobs_jserp-result_job-search-card-subtitle,"Paris, Île-de-France, France"
Data Scientist,https://fr.linkedin.com/jobs/view/data-scientist-at-universit%C3%A9-de-reims-champagne-ardenne-3973663301?position=6&pageNum=0&refId=dbS8xFUpopGQVk4NH8eCEQ%3D%3D&trackingId=ZFT3odSdYcGHd1I5C%2Fl%2Fnw%3D%3D&trk=public_jobs_jserp-result_search-card,1 day ago,Université de Reims Champagne-Ardenne,https://fr.linkedin.com/school/universite-de-reims-champagne-ardenne/?trk=public_jobs_jserp-result_job-search-card-subtitle,"Reims, Grand Est, France"
Data Scientist Assistant,https://fr.linkedin.com/jobs/view/data-scientist-assistant-at-teads-3953500094?position=7&pageNum=0&refId=dbS8xFUpopGQVk4NH8eCEQ%3D%3D&trackingId=F%2FCwLgo9RmwO5AptLOiNww%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,Teads,https://www.linkedin.com/company/teads?trk=public_jobs_jserp-result_job-search-card-subtitle,"Montpellier, Occitanie, France"
Alternance - Data Scientist / Data Analyst (H/F),https://fr.linkedin.com/jobs/view/alternance-data-scientist-data-analyst-h-f-at-s%C3%A9zane-3951066170?position=8&pageNum=0&refId=dbS8xFUpopGQVk4NH8eCEQ%3D%3D&trackingId=cAzcU%2BjgUf2qOwU68fFJQQ%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,Sézane,https://fr.linkedin.com/company/sezane?trk=public_jobs_jserp-result_job-search-card-subtitle,"Paris, Île-de-France, France"
Data Scientist,https://fr.linkedin.com/jobs/view/data-scientist-at-lesjeudis-3974354564?position=9&pageNum=0&refId=dbS8xFUpopGQVk4NH8eCEQ%3D%3D&trackingId=fezBoJkpCldzAetG3ro%2Fcg%3D%3D&trk=public_jobs_jserp-result_search-card,1 day ago,LesJeudis,https://fr.linkedin.com/company/lesjeudis.com?trk=public_jobs_jserp-result_job-search-card-subtitle,"Paris, Île-de-France, France"
Tiktok production & Social Assistant,https://fr.linkedin.com/jobs/view/tiktok-production-social-assistant-at-loewe-3971695416?position=10&pageNum=0&refId=dbS8xFUpopGQVk4NH8eCEQ%3D%3D&trackingId=upFLqJK1reY02KOtuqOFog%3D%3D&trk=public_jobs_jserp-result_search-card,2 days ago,Loewe,https://es.linkedin.com/company/loewe?trk=public_jobs_jserp-result_job-search-card-subtitle,"Paris, Île-de-France, France"
